Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
5,N/A,EVENT_WAIT,44,266,194.180,1785400772457403.105	,1785400772457597.285	
5,N/A,EVENT_RESET,45,903,0.100,1785400772457403.985	,1785400772457404.085	
5,te_gatherv2_32da66449a6dcce3b9ce6f5daa62459d9d4045bcc57dd49b94d6a8070eb661aa__kernel0,AI_VECTOR_CORE,45,904,1.380,1785400772457404.105	,1785400772457405.485	
5,N/A,EVENT_WAIT,45,905,0.020,1785400772457405.505	,1785400772457405.525	
5,N/A,EVENT_RESET,45,906,0.080,1785400772457405.545	,1785400772457405.625	
5,te_gatherv2_32da66449a6dcce3b9ce6f5daa62459d9d4045bcc57dd49b94d6a8070eb661aa__kernel0,AI_VECTOR_CORE,45,907,1.320,1785400772457405.645	,1785400772457406.965	
5,N/A,EVENT_WAIT,45,908,0.020,1785400772457406.985	,1785400772457407.005	
5,N/A,EVENT_RESET,45,909,0.080,1785400772457407.025	,1785400772457407.105	
5,te_rotarypositionembedding_55cda2a9968ed139ed3fa86a56e751904aac86dbc2e553105668df265c4dd275,MIX_AIV,45,910,2.620,1785400772457408.325	,1785400772457410.945	
5,te_concatd_9c3ad382f53f18d03eb0afad5dba932ea3575822cf312aa31245efed5c0aa030__kernel0,AI_VECTOR_CORE,45,911,9.200,1785400772457411.905	,1785400772457421.105	
5,te_expand_5048d24604c4bc1589d7bcb2c8bcb22aed64c94523ab27bbcba0a8b658720694__kernel0,AI_VECTOR_CORE,45,912,6.260,1785400772457421.145	,1785400772457427.405	
5,N/A,EVENT_WAIT,45,913,0.020,1785400772457427.425	,1785400772457427.445	
5,N/A,EVENT_RESET,45,914,0.100,1785400772457427.465	,1785400772457427.565	
5,te_rotarypositionembedding_eede566b717ead18a4218a0c9fa9a80d8fcd61b3195acba056ecd968fa4ce688,MIX_AIV,45,915,3.840,1785400772457428.645	,1785400772457432.485	
5,te_realdiv_b506c0f891f026aed2413a1186e9e94a3d716c388d3b217b504460658630f25b__kernel0,AI_VECTOR_CORE,45,916,1.160,1785400772457433.425	,1785400772457434.585	
5,te_batchmatmulv2_bbaed307a57d45d0ace88438c2699b145543e77140346ea93b693d31b9bdf9e9__kernel0,AI_CORE,45,917,10.440,1785400772457434.605	,1785400772457445.045	
5,te_add_a19c274e9222a5f3daaa2e27163ccfc04ff50f31d9f42fa6db6f36380f6185bc__kernel0,AI_VECTOR_CORE,45,918,4.180,1785400772457445.065	,1785400772457449.245	
5,te_softmaxv2_675654d044d110d635d37aabfe0704bf11353c7fa13156e498a72f2a08e21d02__kernel0,AI_VECTOR_CORE,45,919,3.400,1785400772457449.265	,1785400772457452.665	
5,te_batchmatmulv2_bd33f7fde4314e857a6fa9233f18deac9095f0100db3583e8c2f8cb67171df5c__kernel0,AI_CORE,45,920,9.860,1785400772457452.685	,1785400772457462.545	
5,N/A,EVENT_WAIT,45,921,0.000,1785400772457462.585	,1785400772457462.585	
5,N/A,EVENT_RESET,45,922,0.100,1785400772457462.605	,1785400772457462.705	
5,te_concatd_39d6f4a71da0651115896aa3be6c4d9f26cad9b318ede8d258f6124aaf136ab1__kernel0,AI_VECTOR_CORE,45,923,8.020,1785400772457462.725	,1785400772457470.745	
5,te_expand_5048d24604c4bc1589d7bcb2c8bcb22aed64c94523ab27bbcba0a8b658720694__kernel0,AI_VECTOR_CORE,45,924,6.240,1785400772457470.785	,1785400772457477.025	
5,te_batchmatmulv2_21274bfb90e61e96033976ae0d2c5f984ebaf3368052454afdb1d5cc7eb8ba94__kernel0,AI_CORE,45,925,10.220,1785400772457477.045	,1785400772457487.265	
5,te_batchmatmulv2_1a7623436760f43f8830108778d226c7539c93ee710d41b677899594c532065f__kernel0,AI_CORE,45,926,12.160,1785400772457487.285	,1785400772457499.445	
5,te_fused_op_add_cast_square_reduce_mean_d_add_sqrt_real_div_cast_mul_mul_b4184ab7a50f49d5ec24152102e1a0837f5b5f6af2def2ac01221b5f00656995__kernel0,AI_VECTOR_CORE,45,927,1.480,1785400772457499.465	,1785400772457500.945	
5,te_batchmatmulv2_5bc4a3f4457a6a5a114b79bff1e406a6d4713daf9a5783dfd4c31d81cd973027__kernel0,AI_CORE,45,928,27.000,1785400772457500.965	,1785400772457527.965	
5,te_batchmatmulv2_5bc4a3f4457a6a5a114b79bff1e406a6d4713daf9a5783dfd4c31d81cd973027__kernel0,AI_CORE,45,929,25.920,1785400772457527.985	,1785400772457553.905	
