Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_fp16_ratio,aic_mac_int8_ratio,aic_cube_fops,aiv_time(us),aiv_total_cycles,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_misc_ratio,aiv_vector_fops
5,1,990,45,/model/layers.25/self_attn/Add_3,Add,static,AI_VECTOR_CORE,1785400772340225.385	,4.160,0.020000,48,0,NO,"""1,12,1,4097;1,1,1,4097""",FLOAT16;FLOAT16,NCHW;NCHW,"""1,12,1,4097""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,1.624,140291,0.003,0.003,0.0,0.002,89856.0
5,1,991,45,/model/layers.25/self_attn/Softmax,SoftmaxV2,static,AI_VECTOR_CORE,1785400772340229.565	,3.440,0.000000,12,0,NO,"""1,12,1,4097""",FLOAT16,NCHW,"""1,12,1,4097""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,1.925,41583,0.132,0.02,0.0,0.035,503040.0
5,1,992,45,/model/layers.25/self_attn/v_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785400772340233.025	,9.500,0.060000,16,0,NO,"""1,1536;1536,256;256""",FLOAT16;FLOAT16;FLOAT16,ND;ND;NCHW,"""1,256""",FLOAT16,NCHW,N/A,8.475,244068,0.023,0.0,45203456.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,995,45,/model/layers.25/self_attn/Concat_6,ConcatD,static,AI_VECTOR_CORE,1785400772340242.705	,8.020,0.250000,48,0,NO,"""1,2,4096,128;1,2,1,128""",FLOAT16;FLOAT16,ND;ND,"""1,2,4097,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,5.889,508804,0.0,0.0,0.0,0.016,267200.0
5,1,996,45,/model/layers.25/self_attn/Expand_1,Expand,static,AI_VECTOR_CORE,1785400772340250.745	,6.200,0.000000,48,0,NO,"""1,2,1,4097,128;5""",FLOAT16;INT64,ND;ND,"""1,2,6,4097,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,4.536,391913,0.0,0.0,0.0,0.0,3072.0
5,1,997,45,/model/layers.25/self_attn/MatMul_1,BatchMatMulV2,static,AI_CORE,1785400772340256.965	,10.120,0.050000,12,0,NO,"""1,12,1,4097;1,12,4097,128""",FLOAT16;FLOAT16,ND;ND,"""1,12,1,128""",FLOAT16,NCHW,N/A,9.175,198189,0.241,0.0,391733248.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,998,45,/model/layers.25/self_attn/o_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785400772340267.105	,12.440,0.000000,24,0,NO,"""1,1536;1536,1536""",FLOAT16;FLOAT16,ND;ND,"""1,1536""",FLOAT16,NCHW,N/A,10.577,456919,0.038,0.0,142327808.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,999,45,/model/layers.25/Add/model/layers.25/post_attention_layernorm/Cast/model/layers.25/post_attention_layernorm/Pow/SquarePartitionedCall_/model/layers.25/post_attention_layernorm/ReduceMean_ReduceMean_3717/model/layers.25/post_attention_layernorm/Add/model/layers.25/post_attention_layernorm/Sqrt/model/layers.25/post_attention_layernorm/Divtrans_Cast_51/model/layers.25/post_attention_layernorm/Mul/model/layers.25/post_attention_layernorm/Mul_1,Add,static,AI_VECTOR_CORE,1785400772340279.565	,1.580,0.060000,1,0,NO,"""1,1,1536;1,1,1536;;;1536""",FLOAT16;FLOAT16;FLOAT;FLOAT;FLOAT16,NCHW;NCHW;NCHW;NCHW;NCHW,"""1,1,1536;1,1,1536""",FLOAT16;FLOAT16,NCHW;NCHW,N/A,0.0,0,0.0,0.0,0.0,1.108,1995,0.069,0.018,0.0,0.006,13792.0
5,1,1000,45,/model/layers.25/mlp/gate_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785400772340281.185	,27.340,0.170000,18,0,NO,"""1,1536;1536,8960""",FLOAT16;FLOAT16,ND;ND,"""1,8960""",FLOAT16,NCHW,N/A,23.877,773603,0.131,0.0,829677568.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,1001,45,/model/layers.25/mlp/up_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785400772340308.565	,25.020,0.000000,18,0,NO,"""1,1536;1536,8960""",FLOAT16;FLOAT16,ND;ND,"""1,8960""",FLOAT16,NCHW,N/A,22.235,720402,0.141,0.0,829595648.0,0.0,0,0.0,0.0,0.0,0.0,0.0
